Repository,User,Pull number,Test,Situation
D-Programming-Language/dmd,belka-ew,8285,TRUE,Merged
D-Programming-Language/dmd,bioinfornatics,1259,TRUE,Merged
D-Programming-Language/dmd,damianday,3628,TRUE,Merged
D-Programming-Language/dmd,don-clugston-sociomantic,3587,TRUE,Merged
D-Programming-Language/dmd,dragoon2014,3868,TRUE,Merged
D-Programming-Language/dmd,dsp,4982,TRUE,Merged
D-Programming-Language/dmd,etcimon,4015,TRUE,Merged
D-Programming-Language/dmd,flaviommedeiros,5277,TRUE,Merged
D-Programming-Language/dmd,gapdan,8486,TRUE,Merged
D-Programming-Language/dmd,jcrapuchettes,3744,TRUE,Merged
D-Programming-Language/dmd,jholewinski,1240,TRUE,Merged
D-Programming-Language/dmd,jordisayol,1981,TRUE,Merged
D-Programming-Language/dmd,lgvz,8334,TRUE,Merged
D-Programming-Language/dmd,ltcmelo,3822,TRUE,Merged
D-Programming-Language/dmd,MasonMcGill,3530,TRUE,Merged
D-Programming-Language/dmd,monarchdodra,1277,TRUE,Merged
D-Programming-Language/dmd,nazriel,3264,TRUE,Merged
D-Programming-Language/dmd,ohjames,648,TRUE,Merged
D-Programming-Language/dmd,pjotrp,8701,TRUE,Merged
D-Programming-Language/dmd,pszturmaj,1155,TRUE,Merged
D-Programming-Language/dmd,rawler,56,TRUE,Merged
D-Programming-Language/dmd,RB-01,8795,TRUE,Merged
D-Programming-Language/dmd,rikkimax,3920,TRUE,Merged
D-Programming-Language/dmd,skl131313,7972,TRUE,Merged
D-Programming-Language/dmd,Temtaime,4173,TRUE,Merged
D-Programming-Language/dmd,TheDharc,5265,TRUE,Merged
D-Programming-Language/dmd,timesqueezer,625,TRUE,Merged
D-Programming-Language/dmd,torarin,65,TRUE,Merged
D-Programming-Language/dmd,WebDrake,5381,TRUE,Merged
HuiLi/Sqlite3.07.14,anrui123,437,TRUE,Merged
linuxmint/Cinnamon,arbrandes,640,TRUE,Merged
linuxmint/Cinnamon,izacus,587,TRUE,Merged
mapserver/mapserver,3x0dv5,5599,TRUE,Merged
mapserver/mapserver,akrherz,4579,TRUE,Merged
mapserver/mapserver,BernardBielecki,5482,TRUE,Merged
mapserver/mapserver,bjoernboldt,5412,TRUE,Merged
mapserver/mapserver,blazek,5296,TRUE,Merged
mapserver/mapserver,buildrz,4778,TRUE,Merged
mapserver/mapserver,jisakiel,4941,TRUE,Merged
mapserver/mapserver,theduckylittle,5488,TRUE,Merged
mruby/mruby,devnexen,3163,TRUE,Merged
mruby/mruby,drbrain,2594,TRUE,Merged
mruby/mruby,eboda,3430,TRUE,Merged
mruby/mruby,emboss,462,TRUE,Merged
mruby/mruby,fl0l0u,3802,TRUE,Merged
mruby/mruby,hhc0null,3394,TRUE,Merged
mruby/mruby,hlogmans,3093,TRUE,Merged
mruby/mruby,JackDanger,1470,TRUE,Merged
mruby/mruby,kenhys,3091,TRUE,Merged
mruby/mruby,lateau,1189,TRUE,Merged
mruby/mruby,MasahikoSawada,3701,TRUE,Merged
mruby/mruby,mauceri,567,TRUE,Merged
mruby/mruby,pje,1753,TRUE,Merged
mruby/mruby,pra85,3084,TRUE,Merged
mruby/mruby,r-obert,3449,TRUE,Merged
mruby/mruby,santazhang,2418,TRUE,Merged
mruby/mruby,Shokuji,3884,TRUE,Merged
mruby/mruby,SHyx0rmZ,2429,TRUE,Merged
mruby/mruby,sorah,3380,TRUE,Merged
mruby/mruby,takkanm,2347,TRUE,Merged
mruby/mruby,utkarshkukreti,2143,TRUE,Merged
mruby/mruby,val00274,3080,TRUE,Merged
mruby/mruby,yamori813,3923,TRUE,Merged
mruby/mruby,yhara,3312,TRUE,Merged
mruby/mruby,yoshida-mediba,2885,TRUE,Merged
mruby/mruby,znz,4072,TRUE,Merged
neovim/neovim,123vivekr,8926,TRUE,Merged
neovim/neovim,284km,7465,TRUE,Merged
neovim/neovim,adamlamers,1068,TRUE,Merged
neovim/neovim,akarle,8452,TRUE,Merged
neovim/neovim,akelson,1763,TRUE,Merged
neovim/neovim,ArnossArnossi,7505,TRUE,Merged
neovim/neovim,bb010g,8692,TRUE,Merged
neovim/neovim,bennyyip,7984,TRUE,Merged
neovim/neovim,bohrshaw,3657,TRUE,Merged
neovim/neovim,bountysource-support,853,TRUE,Merged
neovim/neovim,brettanomyces,4267,TRUE,Merged
neovim/neovim,catlee,8311,TRUE,Merged
neovim/neovim,chielk,4540,TRUE,Merged
neovim/neovim,chocolatemelt,4423,TRUE,Merged
neovim/neovim,cjlucas,5546,TRUE,Merged
neovim/neovim,clason,7751,TRUE,Merged
neovim/neovim,cre8tor,2146,TRUE,Merged
neovim/neovim,danthedeckie,1632,TRUE,Merged
neovim/neovim,davidgaleano,6914,TRUE,Merged
neovim/neovim,demelev,5919,TRUE,Merged
neovim/neovim,Dissonant-Tech,904,TRUE,Merged
neovim/neovim,dncnmcdougall,5424,TRUE,Merged
neovim/neovim,doubleloop,7924,TRUE,Merged
neovim/neovim,dvejmz,7422,TRUE,Merged
neovim/neovim,eraserhd,8831,TRUE,Merged
neovim/neovim,EricR86,7446,TRUE,Merged
neovim/neovim,fowles,5192,TRUE,Merged
neovim/neovim,fritschy,5880,TRUE,Merged
neovim/neovim,gauravdesale,8918,TRUE,Merged
neovim/neovim,glebtv,1879,TRUE,Merged
neovim/neovim,gvassallo,9124,TRUE,Merged
neovim/neovim,gyscos,6268,TRUE,Merged
neovim/neovim,hanetzer,8199,TRUE,Merged
neovim/neovim,ix5,8976,TRUE,Merged
neovim/neovim,jacob-butler,8329,TRUE,Merged
neovim/neovim,jbernard,8371,TRUE,Merged
neovim/neovim,jdelkins,4764,TRUE,Merged
neovim/neovim,jeanguyomarch,7897,TRUE,Merged
neovim/neovim,Jeonghan-Seok,6526,TRUE,Merged
neovim/neovim,jgouly,953,TRUE,Merged
neovim/neovim,jleclanche,3141,TRUE,Merged
neovim/neovim,jms8732,6627,TRUE,Merged
neovim/neovim,jonthn,1332,TRUE,Merged
neovim/neovim,jorgesumle,5632,TRUE,Merged
neovim/neovim,kalekundert,9131,TRUE,Merged
neovim/neovim,kalikiana,7917,TRUE,Merged
neovim/neovim,ktchen14,2993,TRUE,Merged
neovim/neovim,laserswald,1283,TRUE,Merged
neovim/neovim,lincheney,8485,TRUE,Merged
neovim/neovim,malept,5441,TRUE,Merged
neovim/neovim,manasthakur,6743,TRUE,Merged
neovim/neovim,martsbradley,5530,TRUE,Merged
neovim/neovim,Marwes,7657,TRUE,Merged
neovim/neovim,MattWis,2041,TRUE,Merged
neovim/neovim,mbudde,4994,TRUE,Merged
neovim/neovim,motersen,1605,TRUE,Merged
neovim/neovim,muarachmann,9149,TRUE,Merged
neovim/neovim,nadya-p,8821,TRUE,Merged
neovim/neovim,nathanl,8762,TRUE,Merged
neovim/neovim,nfnty,5736,TRUE,Merged
neovim/neovim,noahfrederick,4167,TRUE,Merged
neovim/neovim,NovaDev94,5362,TRUE,Merged
neovim/neovim,ordovicia,7514,TRUE,Merged
neovim/neovim,pbhandari,2247,TRUE,Merged
neovim/neovim,peskal,7653,TRUE,Merged
neovim/neovim,PurinLord,6305,TRUE,Merged
neovim/neovim,quinoa42,7340,TRUE,Merged
neovim/neovim,Risto-Stevcev,8107,TRUE,Merged
neovim/neovim,rosston,3443,TRUE,Merged
neovim/neovim,samjjc,6384,TRUE,Merged
neovim/neovim,sassanh,6731,TRUE,Merged
neovim/neovim,sethwoodworth,1989,TRUE,Merged
neovim/neovim,skawouter,2945,TRUE,Merged
neovim/neovim,skeate,3339,TRUE,Merged
neovim/neovim,Snaipe,7414,TRUE,Merged
neovim/neovim,snowch,3603,TRUE,Merged
neovim/neovim,ssteinbach,2877,TRUE,Merged
neovim/neovim,stephenprater,6050,TRUE,Merged
neovim/neovim,Streetwalrus,4589,TRUE,Merged
neovim/neovim,submagr,7708,TRUE,Merged
neovim/neovim,svaante,6121,TRUE,Merged
neovim/neovim,symphorien,8307,TRUE,Merged
neovim/neovim,timjstewart,6939,TRUE,Merged
neovim/neovim,tomxtobin,4296,TRUE,Merged
neovim/neovim,waynr,6076,TRUE,Merged
neovim/neovim,whereswaldon,4984,TRUE,Merged
neovim/neovim,y2s82,9081,TRUE,Merged
neovim/neovim,yatesco,8520,TRUE,Merged
neovim/neovim,yjhan96,7232,TRUE,Merged
numpy/numpy,AaronCritchley,10716,TRUE,Merged
numpy/numpy,abdulmuneer,5496,TRUE,Merged
numpy/numpy,adamreeve,4804,TRUE,Merged
numpy/numpy,AetherUnbound,12106,TRUE,Merged
numpy/numpy,ajdavis,8526,TRUE,Merged
numpy/numpy,akesandgren,3162,TRUE,Merged
numpy/numpy,alexbeloi,8051,TRUE,Merged
numpy/numpy,alvarosg,8190,TRUE,Merged
numpy/numpy,alyssaq,11567,TRUE,Merged
numpy/numpy,andportnoy,10676,TRUE,Merged
numpy/numpy,andreabedini,5889,TRUE,Merged
numpy/numpy,andu97,9892,TRUE,Merged
numpy/numpy,AnishShah,7134,TRUE,Merged
numpy/numpy,asford,3187,TRUE,Merged
numpy/numpy,aurel32,10832,TRUE,Merged
numpy/numpy,baeuml,2920,TRUE,Merged
numpy/numpy,befelix,8474,TRUE,Merged
numpy/numpy,behrmann,8596,TRUE,Merged
numpy/numpy,bennorth,8187,TRUE,Merged
numpy/numpy,bjoernthiel,10444,TRUE,Merged
numpy/numpy,bodtc,420,TRUE,Merged
numpy/numpy,brettrmurphy,4713,TRUE,Merged
numpy/numpy,brsr,8421,TRUE,Merged
numpy/numpy,bsipocz,6199,TRUE,Merged
numpy/numpy,bspinnler,3911,TRUE,Merged
numpy/numpy,bsteffensmeier,7229,TRUE,Merged
numpy/numpy,CAM-Gerlach,11642,TRUE,Merged
numpy/numpy,cancan101,8610,TRUE,Merged
numpy/numpy,carterbox,7896,TRUE,Merged
numpy/numpy,ceball,4289,TRUE,Merged
numpy/numpy,cel4,4960,TRUE,Merged
numpy/numpy,ChanderG,6131,TRUE,Merged
numpy/numpy,ChienliMa,4751,TRUE,Merged
numpy/numpy,cianci,372,TRUE,Merged
numpy/numpy,d5h,2794,TRUE,Merged
numpy/numpy,dakotalk,7863,TRUE,Merged
numpy/numpy,danielballan,11566,TRUE,Merged
numpy/numpy,danieljfarrell,3653,TRUE,Merged
numpy/numpy,DanielSank,5605,TRUE,Merged
numpy/numpy,daschaich,7671,TRUE,Merged
numpy/numpy,davidjn,8897,TRUE,Merged
numpy/numpy,DavidPowell,5636,TRUE,Merged
numpy/numpy,DavidToca,8643,TRUE,Merged
numpy/numpy,depristo,4765,TRUE,Merged
numpy/numpy,diego898,4637,TRUE,Merged
numpy/numpy,DmitriyValetov,9900,TRUE,Merged
numpy/numpy,drabach,8602,TRUE,Merged
numpy/numpy,drasmuss,7597,TRUE,Merged
numpy/numpy,dzagorny,6242,TRUE,Merged
numpy/numpy,eamartin,6057,TRUE,Merged
numpy/numpy,ecprice,3592,TRUE,Merged
numpy/numpy,ElieGouzien,9332,TRUE,Merged
numpy/numpy,emmenlau,7817,TRUE,Merged
numpy/numpy,EricSchles,12032,TRUE,Merged
numpy/numpy,eugene536,8695,TRUE,Merged
numpy/numpy,evanlimanto,8569,TRUE,Merged
numpy/numpy,faucon,6126,TRUE,Merged
numpy/numpy,fhs,3431,TRUE,Merged
numpy/numpy,flying-sheep,8667,TRUE,Merged
numpy/numpy,fo40225,10576,TRUE,Merged
numpy/numpy,FrancescAlted,267,TRUE,Merged
numpy/numpy,fred-lefebvre,10740,TRUE,Merged
numpy/numpy,g2p,2765,TRUE,Merged
numpy/numpy,Gabriel-p,5051,TRUE,Merged
numpy/numpy,GaelVaroquaux,2745,TRUE,Merged
numpy/numpy,garyo,4064,TRUE,Merged
numpy/numpy,gertingold,5623,TRUE,Merged
numpy/numpy,godber,4883,TRUE,Merged
numpy/numpy,gopalmeena,6831,TRUE,Merged
numpy/numpy,griffin-h,6679,TRUE,Merged
numpy/numpy,gthomsen,6064,TRUE,Merged
numpy/numpy,gyk,11754,TRUE,Merged
numpy/numpy,hamukazu,11203,TRUE,Merged
numpy/numpy,HaroldMills,3482,TRUE,Merged
numpy/numpy,heroxbd,8618,TRUE,Merged
numpy/numpy,hgomersall,219,TRUE,Merged
numpy/numpy,Hoops,3453,TRUE,Merged
numpy/numpy,hrw,2900,TRUE,Merged
numpy/numpy,hvy,10745,TRUE,Merged
numpy/numpy,Iceman9,6660,TRUE,Merged
numpy/numpy,ilam,4823,TRUE,Merged
numpy/numpy,ImportanceOfBeingErnest,8978,TRUE,Merged
numpy/numpy,inducer,3500,TRUE,Merged
numpy/numpy,int3,4525,TRUE,Merged
numpy/numpy,isedwards,2697,TRUE,Merged
numpy/numpy,isuruf,11525,TRUE,Merged
numpy/numpy,iwiwi,8326,TRUE,Merged
numpy/numpy,jamadden,3820,TRUE,Merged
numpy/numpy,jess010,4619,TRUE,Merged
numpy/numpy,jesseakt,8678,TRUE,Merged
numpy/numpy,jgehrcke,4215,TRUE,Merged
numpy/numpy,jiangnanhugo,10684,TRUE,Merged
numpy/numpy,jisaacso,5947,TRUE,Merged
numpy/numpy,jleahy,9336,TRUE,Merged
numpy/numpy,jlmuir,11950,TRUE,Merged
numpy/numpy,jmozmoz,3441,TRUE,Merged
numpy/numpy,jmrosen155,5731,TRUE,Merged
numpy/numpy,johntyree,5616,TRUE,Merged
numpy/numpy,jonathanunderwood,6355,TRUE,Merged
numpy/numpy,jor-,11503,TRUE,Merged
numpy/numpy,jorisvandenbossche,5914,TRUE,Merged
numpy/numpy,jove1,4377,TRUE,Merged
numpy/numpy,jphalip,3002,TRUE,Merged
numpy/numpy,jtpio,7417,TRUE,Merged
numpy/numpy,jurnix,4453,TRUE,Merged
numpy/numpy,jusjusjus,9893,TRUE,Merged
numpy/numpy,keflavich,3257,TRUE,Merged
