Repository,Estado,Page,Total pulls,Pulls wiht tests,pulls without testes,,,,,,
cocos2d_cocos2d-x,closed,58,1500,230,1270,,,,,,
cocos2d_cocos2d-x,closed,59,1600,245,1355,,,,,,
cocos2d_cocos2d-x,closed,60,1700,260,1440,,,,,,
cocos2d_cocos2d-x,closed,61,1800,265,1535,,,,,,
cocos2d_cocos2d-x,closed,62,1900,279,1621,,,,,,
cocos2d_cocos2d-x,closed,63,2000,295,1705,,,,,,
cocos2d_cocos2d-x,closed,64,2100,310,1790,,,,,,
cocos2d_cocos2d-x,closed,65,2200,319,1881,,,,,,
cocos2d_cocos2d-x,closed,66,2300,340,1960,,,,,,
cocos2d_cocos2d-x,closed,67,2400,360,2040,,,,,,
cocos2d_cocos2d-x,closed,68,2500,372,2128,,,,,,
cocos2d_cocos2d-x,closed,69,2600,472,2128,,,,,,
cocos2d_cocos2d-x,closed,70,2700,572,2128,,,,,,
cocos2d_cocos2d-x,closed,71,2800,672,2128,,,,,,
cocos2d_cocos2d-x,closed,72,2900,772,2128,,,,,,
cocos2d_cocos2d-x,closed,73,3000,872,2128,,,,,,
cocos2d_cocos2d-x,closed,74,3100,972,2128,,,,,,
cocos2d_cocos2d-x,closed,75,3200,1072,2128,,,,,,
cocos2d_cocos2d-x,closed,76,3300,1172,2128,,,,,,
cocos2d_cocos2d-x,closed,77,3400,1272,2128,,,,,,
cocos2d_cocos2d-x,closed,78,3500,1372,2128,,,,,,
cocos2d_cocos2d-x,closed,79,3600,1472,2128,,,,,,
cocos2d_cocos2d-x,closed,80,3700,1572,2128,,,,,,
cocos2d_cocos2d-x,closed,81,3800,1672,2128,,,,,,
cocos2d_cocos2d-x,closed,82,3900,1772,2128,,,,,,
cocos2d_cocos2d-x,closed,83,4000,1872,2128,,,,,,
cocos2d_cocos2d-x,closed,84,4100,1972,2128,,,,,,
cocos2d_cocos2d-x,closed,85,4200,2072,2128,,,,,,
cocos2d_cocos2d-x,closed,86,4300,2172,2128,,,,,,
cocos2d_cocos2d-x,closed,87,4400,2272,2128,,,,,,
cocos2d_cocos2d-x,closed,88,4500,2372,2128,,,,,,
cocos2d_cocos2d-x,closed,89,4600,2472,2128,,,,,,
cocos2d_cocos2d-x,closed,90,4700,2572,2128,,,,,,
cocos2d_cocos2d-x,closed,91,4800,2672,2128,,,,,,
cocos2d_cocos2d-x,closed,92,4900,2772,2128,,,,,,
cocos2d_cocos2d-x,closed,93,5000,2872,2128,,,,,,
cocos2d_cocos2d-x,closed,94,5100,2972,2128,,,,,,
cocos2d_cocos2d-x,closed,95,5200,3072,2128,,,,,,
cocos2d_cocos2d-x,closed,96,5300,3098,2202,,,,,,
cocos2d_cocos2d-x,closed,97,5400,3120,2280,,,,,,
cocos2d_cocos2d-x,closed,98,5500,3143,2357,,,,,,
cocos2d_cocos2d-x,closed,99,5600,3161,2439,,,,,,
cocos2d_cocos2d-x,closed,100,5700,3184,2516,,,,,,
cocos2d_cocos2d-x,closed,101,5800,3204,2596,,,,,,
cocos2d_cocos2d-x,closed,102,5900,3232,2668,,,,,,
cocos2d_cocos2d-x,closed,103,6000,3252,2748,,,,,,
cocos2d_cocos2d-x,closed,104,6100,3280,2820,,,,,,
cocos2d_cocos2d-x,closed,105,6200,3305,2895,,,,,,
cocos2d_cocos2d-x,closed,106,6300,3319,2981,,,,,,
cocos2d_cocos2d-x,closed,107,6400,3334,3066,,,,,,
cocos2d_cocos2d-x,closed,108,6500,3343,3157,,,,,,
cocos2d_cocos2d-x,closed,109,6600,3359,3241,,,,,,
cocos2d_cocos2d-x,closed,110,6700,3373,3327,,,,,,
cocos2d_cocos2d-x,closed,111,6800,3388,3412,,,,,,
cocos2d_cocos2d-x,closed,112,6900,3400,3500,,,,,,
cocos2d_cocos2d-x,closed,113,7000,3417,3583,,,,,,
cocos2d_cocos2d-x,closed,114,7100,3437,3663,,,,,,
cocos2d_cocos2d-x,closed,115,7200,3454,3746,,,,,,
cocos2d_cocos2d-x,closed,116,7300,3473,3827,,,,,,
cocos2d_cocos2d-x,closed,117,7400,3485,3915,,,,,,
cocos2d_cocos2d-x,closed,118,7500,3495,4005,,,,,,
cocos2d_cocos2d-x,closed,119,7600,3509,4091,,,,,,
cocos2d_cocos2d-x,closed,120,7700,3519,4181,,,,,,
cocos2d_cocos2d-x,closed,121,7800,3619,4181,,,,,,
cocos2d_cocos2d-x,closed,122,7900,3719,4181,,,,,,
cocos2d_cocos2d-x,closed,123,8000,3819,4181,,,,,,
cocos2d_cocos2d-x,closed,124,8100,3919,4181,,,,,,
cocos2d_cocos2d-x,closed,125,8200,4019,4181,,,,,,
cocos2d_cocos2d-x,closed,126,8300,4119,4181,,,,,,
cocos2d_cocos2d-x,closed,127,8400,4219,4181,,,,,,
cocos2d_cocos2d-x,closed,128,8500,4319,4181,,,,,,
cocos2d_cocos2d-x,closed,129,8600,4419,4181,,,,,,
cocos2d_cocos2d-x,closed,130,8700,4519,4181,,,,,,
cocos2d_cocos2d-x,closed,131,8800,4619,4181,,,,,,
cocos2d_cocos2d-x,closed,132,8900,4719,4181,,,,,,
cocos2d_cocos2d-x,closed,133,9000,4819,4181,,,,,,
cocos2d_cocos2d-x,closed,134,9100,4919,4181,,,,,,
cocos2d_cocos2d-x,closed,135,9200,5019,4181,,,,,,
cocos2d_cocos2d-x,closed,136,9300,5119,4181,,,,,,
cocos2d_cocos2d-x,closed,137,9400,5219,4181,,,,,,
cocos2d_cocos2d-x,closed,138,9500,5319,4181,,,,,,
cocos2d_cocos2d-x,closed,139,9600,5419,4181,,,,,,
cocos2d_cocos2d-x,closed,140,9700,5519,4181,,,,,,
cocos2d_cocos2d-x,closed,141,9800,5619,4181,,,,,,
cocos2d_cocos2d-x,closed,142,9900,5719,4181,,,,,,
cocos2d_cocos2d-x,closed,143,10000,5819,4181,,,,,,
cocos2d_cocos2d-x,closed,144,10100,5919,4181,,,,,,
cocos2d_cocos2d-x,closed,145,10200,6019,4181,,,,,,
cocos2d_cocos2d-x,closed,146,10300,6119,4181,,,,,,
cocos2d_cocos2d-x,closed,147,10344,6163,4181,,,,,,
supertuxkart_stk-code,closed,1,100,2,98,,,,,,
supertuxkart_stk-code,closed,2,200,5,195,,,,,,
supertuxkart_stk-code,closed,3,300,7,293,,,,,,
supertuxkart_stk-code,closed,4,400,7,393,,,,,,
supertuxkart_stk-code,closed,5,500,8,492,,,,,,
supertuxkart_stk-code,closed,6,538,8,530,,,,,,
TrinityCore_TrinityCore,closed,1,100,0,100,,,,,,
TrinityCore_TrinityCore,closed,2,200,0,200,,,,,,
TrinityCore_TrinityCore,closed,3,300,0,300,,,,,,
TrinityCore_TrinityCore,closed,4,400,0,400,,,,,,
TrinityCore_TrinityCore,closed,5,500,0,500,,,,,,
TrinityCore_TrinityCore,closed,6,600,0,600,,,,,,
TrinityCore_TrinityCore,closed,7,700,0,700,,,,,,
TrinityCore_TrinityCore,closed,8,800,0,800,,,,,,
TrinityCore_TrinityCore,closed,9,900,0,900,,,,,,
TrinityCore_TrinityCore,closed,10,1000,0,1000,,,,,,
TrinityCore_TrinityCore,closed,11,1100,0,1100,,,,,,
TrinityCore_TrinityCore,closed,12,1200,0,1200,,,,,,
TrinityCore_TrinityCore,closed,13,1300,0,1300,,,,,,
TrinityCore_TrinityCore,closed,14,1400,0,1400,,,,,,
TrinityCore_TrinityCore,closed,15,1500,0,1500,,,,,,
TrinityCore_TrinityCore,closed,16,1600,0,1600,,,,,,
TrinityCore_TrinityCore,closed,17,1700,0,1700,,,,,,
TrinityCore_TrinityCore,closed,18,1800,0,1800,,,,,,
TrinityCore_TrinityCore,closed,19,1900,0,1900,,,,,,
TrinityCore_TrinityCore,closed,20,2000,0,2000,,,,,,
TrinityCore_TrinityCore,closed,21,100,0,100,,,,,,
TrinityCore_TrinityCore,closed,22,200,0,200,,,,,,
TrinityCore_TrinityCore,closed,23,300,0,300,,,,,,
TrinityCore_TrinityCore,closed,24,400,1,399,,,,,,
TrinityCore_TrinityCore,closed,25,500,1,499,,,,,,
TrinityCore_TrinityCore,closed,26,600,1,599,,,,,,
TrinityCore_TrinityCore,closed,27,700,1,699,,,,,,
TrinityCore_TrinityCore,closed,28,800,1,799,,,,,,
TrinityCore_TrinityCore,closed,29,900,2,898,,,,,,
TrinityCore_TrinityCore,closed,30,1000,2,998,,,,,,
TrinityCore_TrinityCore,closed,31,1100,2,1098,,,,,,
TrinityCore_TrinityCore,closed,32,1200,2,1198,,,,,,
TrinityCore_TrinityCore,closed,33,1300,2,1298,,,,,,
TrinityCore_TrinityCore,closed,34,1400,2,1398,,,,,,
TrinityCore_TrinityCore,closed,35,1500,2,1498,,,,,,
TrinityCore_TrinityCore,closed,36,1600,2,1598,,,,,,
TrinityCore_TrinityCore,closed,37,1700,2,1698,,,,,,
TrinityCore_TrinityCore,closed,38,1800,2,1798,,,,,,
TrinityCore_TrinityCore,closed,39,1900,2,1898,,,,,,
TrinityCore_TrinityCore,closed,40,2000,2,1998,,,,,,
TrinityCore_TrinityCore,closed,41,2100,2,2098,,,,,,
TrinityCore_TrinityCore,closed,42,2200,2,2198,,,,,,
TrinityCore_TrinityCore,closed,43,2300,2,2298,,,,,,
TrinityCore_TrinityCore,closed,44,2400,102,2298,,,,,,
TrinityCore_TrinityCore,closed,45,2488,190,2298,,,,,,
uglide_RedisDesktopManager,closed,1,100,8,92,,,,,,
uglide_RedisDesktopManager,closed,2,200,17,183,,,,,,
uglide_RedisDesktopManager,closed,3,223,21,202,,,,,,
tux3_qTox,closed,1,100,2,98,,,,,,
tux3_qTox,closed,2,200,2,198,,,,,,
tux3_qTox,closed,3,300,4,296,,,,,,
tux3_qTox,closed,4,400,8,392,,,,,,
tux3_qTox,closed,5,500,12,488,,,,,,
tux3_qTox,closed,6,600,15,585,,,,,,
tux3_qTox,closed,7,700,20,680,,,,,,
tux3_qTox,closed,8,800,21,779,,,,,,
tux3_qTox,closed,9,900,21,879,,,,,,
tux3_qTox,closed,10,1000,22,978,,,,,,
tux3_qTox,closed,11,1100,22,1078,,,,,,
tux3_qTox,closed,12,100,0,100,,,,,,
tux3_qTox,closed,13,200,0,200,,,,,,
tux3_qTox,closed,14,300,0,300,,,,,,
tux3_qTox,closed,15,400,0,400,,,,,,
tux3_qTox,closed,16,500,0,500,,,,,,
tux3_qTox,closed,17,600,0,600,,,,,,
tux3_qTox,closed,18,700,0,700,,,,,,
tux3_qTox,closed,19,800,0,800,,,,,,
tux3_qTox,closed,20,900,0,900,,,,,,
tux3_qTox,closed,21,1000,0,1000,,,,,,
tux3_qTox,closed,22,1100,0,1100,,,,,,
tux3_qTox,closed,23,1200,0,1200,,,,,,
tux3_qTox,closed,24,1300,100,1200,,,,,,
tux3_qTox,closed,25,1318,118,1200,,,,,,
hpcc-systems_HPCC-Platform,closed,1,100,8,92,,,,,,
hpcc-systems_HPCC-Platform,closed,2,200,13,187,,,,,,
hpcc-systems_HPCC-Platform,closed,3,300,21,279,,,,,,
hpcc-systems_HPCC-Platform,closed,4,400,24,376,,,,,,
hpcc-systems_HPCC-Platform,closed,5,500,36,464,,,,,,
hpcc-systems_HPCC-Platform,closed,6,600,51,549,,,,,,
hpcc-systems_HPCC-Platform,closed,7,700,58,642,,,,,,
hpcc-systems_HPCC-Platform,closed,8,800,70,730,,,,,,
hpcc-systems_HPCC-Platform,closed,9,900,77,823,,,,,,
hpcc-systems_HPCC-Platform,closed,10,1000,92,908,,,,,,
hpcc-systems_HPCC-Platform,closed,11,1100,106,994,,,,,,
hpcc-systems_HPCC-Platform,closed,12,1200,121,1079,,,,,,
hpcc-systems_HPCC-Platform,closed,13,1300,135,1165,,,,,,
hpcc-systems_HPCC-Platform,closed,14,1400,138,1262,,,,,,
hpcc-systems_HPCC-Platform,closed,15,1500,144,1356,,,,,,
hpcc-systems_HPCC-Platform,closed,16,1600,152,1448,,,,,,
hpcc-systems_HPCC-Platform,closed,17,1700,163,1537,,,,,,
hpcc-systems_HPCC-Platform,closed,18,1800,172,1628,,,,,,
hpcc-systems_HPCC-Platform,closed,19,1900,181,1719,,,,,,
hpcc-systems_HPCC-Platform,closed,20,2000,190,1810,,,,,,
hpcc-systems_HPCC-Platform,closed,21,2100,198,1902,,,,,,
hpcc-systems_HPCC-Platform,closed,22,2200,210,1990,,,,,,
hpcc-systems_HPCC-Platform,closed,23,2300,222,2078,,,,,,
hpcc-systems_HPCC-Platform,closed,24,2400,234,2166,,,,,,
hpcc-systems_HPCC-Platform,closed,25,2500,246,2254,,,,,,
hpcc-systems_HPCC-Platform,closed,26,100,5,95,,,,,,
hpcc-systems_HPCC-Platform,closed,27,200,17,183,,,,,,
hpcc-systems_HPCC-Platform,closed,28,300,25,275,,,,,,
hpcc-systems_HPCC-Platform,closed,29,400,29,371,,,,,,
hpcc-systems_HPCC-Platform,closed,30,500,40,460,,,,,,
hpcc-systems_HPCC-Platform,closed,31,600,51,549,,,,,,
hpcc-systems_HPCC-Platform,closed,32,700,57,643,,,,,,
hpcc-systems_HPCC-Platform,closed,33,800,65,735,,,,,,
hpcc-systems_HPCC-Platform,closed,34,900,68,832,,,,,,
hpcc-systems_HPCC-Platform,closed,35,1000,75,925,,,,,,
hpcc-systems_HPCC-Platform,closed,36,1100,83,1017,,,,,,
hpcc-systems_HPCC-Platform,closed,37,1200,90,1110,,,,,,
hpcc-systems_HPCC-Platform,closed,38,1300,96,1204,,,,,,
hpcc-systems_HPCC-Platform,closed,39,1400,101,1299,,,,,,
hpcc-systems_HPCC-Platform,closed,40,1500,116,1384,,,,,,
hpcc-systems_HPCC-Platform,closed,41,1600,125,1475,,,,,,
hpcc-systems_HPCC-Platform,closed,42,1700,134,1566,,,,,,
hpcc-systems_HPCC-Platform,closed,43,1800,141,1659,,,,,,
hpcc-systems_HPCC-Platform,closed,44,1900,149,1751,,,,,,
hpcc-systems_HPCC-Platform,closed,45,2000,154,1846,,,,,,
hpcc-systems_HPCC-Platform,closed,46,2100,167,1933,,,,,,
hpcc-systems_HPCC-Platform,closed,47,2200,173,2027,,,,,,
hpcc-systems_HPCC-Platform,closed,48,2300,185,2115,,,,,,
hpcc-systems_HPCC-Platform,closed,49,2400,199,2201,,,,,,
hpcc-systems_HPCC-Platform,closed,50,2500,221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,51,2600,321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,52,2700,421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,53,2800,521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,54,2900,621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,55,3000,721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,56,3100,821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,57,3200,921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,58,3300,1021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,59,3400,1121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,60,3500,1221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,61,3600,1321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,62,3700,1421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,63,3800,1521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,64,3900,1621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,65,4000,1721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,66,4100,1821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,67,4200,1921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,68,4300,2021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,69,4400,2121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,70,4500,2221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,71,4600,2321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,72,4700,2421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,73,4800,2521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,74,4900,2621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,75,5000,2721,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,76,5100,2821,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,77,5200,2921,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,78,5300,3021,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,79,5400,3121,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,80,5500,3221,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,81,5600,3321,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,82,5700,3421,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,83,5800,3521,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,84,5900,3621,2279,,,,,,
hpcc-systems_HPCC-Platform,closed,85,6000,3721,2279,,,,,,
BVLC_caffe,closed,1,100,12,88,,,,,,
BVLC_caffe,closed,2,200,26,174,,,,,,
BVLC_caffe,closed,3,300,32,268,,,,,,
BVLC_caffe,closed,4,400,37,363,,,,,,
BVLC_caffe,closed,5,500,51,449,,,,,,
BVLC_caffe,closed,6,600,74,526,,,,,,
BVLC_caffe,closed,7,700,87,613,,,,,,
BVLC_caffe,closed,8,800,108,692,,,,,,
BVLC_caffe,closed,9,900,134,766,,,,,,
BVLC_caffe,closed,10,1000,147,853,,,,,,
BVLC_caffe,closed,11,1100,165,935,,,,,,
BVLC_caffe,closed,12,1200,182,1018,,,,,,
BVLC_caffe,closed,13,1300,203,1097,,,,,,
BVLC_caffe,closed,14,1400,218,1182,,,,,,
BVLC_caffe,closed,15,1500,235,1265,,,,,,
BVLC_caffe,closed,16,1600,256,1344,,,,,,
BVLC_caffe,closed,17,1700,281,1419,,,,,,
BVLC_caffe,closed,18,1800,304,1496,,,,,,
BVLC_caffe,closed,19,1900,317,1583,,,,,,
BVLC_caffe,closed,20,1912,319,1593,,,,,,
